         16127163 function calls (14951606 primitive calls) in 151.286 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  151.355  151.355 /home/amax/xyc/MATr/offpymarl/src/multi_task_offline_run.py:172(run_sequential)
        1    0.348    0.348  147.349  147.349 /home/amax/xyc/MATr/offpymarl/src/multi_task_offline_run.py:252(train_sequential)
     1200    0.577    0.000  114.745    0.096 /home/amax/xyc/MATr/offpymarl/src/learners/multi_task/mt_bc_learner.py:45(train)
    33961    5.769    0.000   70.851    0.002 /home/amax/xyc/MATr/offpymarl/src/controllers/multi_task/mt_lbf_controller.py:47(forward)
577337/33961    1.465    0.000   56.387    0.002 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/module.py:1507(_wrapped_call_impl)
577337/33961    2.123    0.000   56.245    0.002 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/module.py:1513(_call_impl)
    33961    1.605    0.000   55.807    0.002 /home/amax/xyc/MATr/offpymarl/src/modules/agents/multi_task/mt_rnn_agent.py:34(forward)
     1200    0.019    0.000   53.867    0.045 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_tensor.py:463(backward)
     1200    0.017    0.000   53.848    0.045 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/autograd/__init__.py:164(backward)
     1200   53.780    0.045   53.780    0.045 {method 'run_backward' of 'torch._C._EngineBase' objects}
    33961    2.941    0.000   35.566    0.001 /home/amax/xyc/MATr/offpymarl/src/modules/agents/multi_task/mt_rnn_agent.py:54(_get_attn_feature)
      192    0.345    0.002   30.507    0.159 /home/amax/xyc/MATr/offpymarl/src/runners/multi_task/episode_runner.py:47(run)
   373571    1.317    0.000   16.752    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/linear.py:115(forward)
   373571   14.841    0.000   14.841    0.000 {built-in method torch._C._nn.linear}
     7642    0.256    0.000   14.811    0.002 /home/amax/xyc/MATr/offpymarl/src/controllers/multi_task/mt_lbf_controller.py:41(select_actions)
    67922    0.675    0.000    9.174    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/container.py:215(forward)
    15284    3.130    0.000    7.529    0.000 /home/amax/xyc/MATr/offpymarl/src/components/episode_buffer.py:87(update)
    67922    2.175    0.000    6.758    0.000 /home/amax/xyc/MATr/offpymarl/src/modules/agents/multi_task/mt_rnn_agent.py:131(attention)
     7450    0.089    0.000    6.550    0.001 /home/amax/xyc/MATr/offpymarl/src/envs/__init__.py:109(step)
    33961    1.400    0.000    5.416    0.000 /home/amax/xyc/MATr/offpymarl/src/controllers/multi_task/mt_lbf_controller.py:103(_build_inputs)
     7450    0.030    0.000    4.730    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/gym/core.py:322(step)
   203766    4.586    0.000    4.586    0.000 {built-in method torch.cat}
     7450    0.031    0.000    4.444    0.001 /home/amax/xyc/MATr/offpymarl/src/envs/__init__.py:36(step)
     7450    0.036    0.000    4.413    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/gym/wrappers/order_enforcing.py:9(step)
     7450    0.296    0.000    4.377    0.001 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:483(step)
    33961    1.155    0.000    3.497    0.000 /home/amax/xyc/MATr/offpymarl/src/modules/decomposers/lbf_decomposer.py:82(decompose_action_info)
    33961    0.470    0.000    3.273    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/rnn.py:1424(forward)
   206166    2.732    0.000    2.732    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
     7642    0.109    0.000    2.684    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:376(_make_gym_obs)
    33961    2.596    0.000    2.596    0.000 {built-in method torch.gru_cell}
    48652    2.534    0.000    2.534    0.000 {built-in method torch.tensor}
   135844    2.437    0.000    2.437    0.000 {built-in method torch.bmm}
    33961    0.346    0.000    2.426    0.000 /home/amax/xyc/MATr/offpymarl/src/modules/agents/multi_task/mt_rnn_agent.py:72(<listcomp>)
    93203    2.375    0.000    2.375    0.000 {method 'to' of 'torch._C.TensorBase' objects}
     1203    0.012    0.000    2.136    0.002 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_compile.py:20(inner)
    67922    2.062    0.000    2.062    0.000 {method 'repeat' of 'torch._C.TensorBase' objects}
   104283    1.901    0.000    1.901    0.000 {built-in method torch.stack}
        1    0.000    0.000    1.821    1.821 /home/amax/xyc/MATr/offpymarl/src/learners/multi_task/mt_bc_learner.py:85(cuda)
        1    0.000    0.000    1.821    1.821 /home/amax/xyc/MATr/offpymarl/src/controllers/multi_task/mt_lbf_controller.py:89(cuda)
        1    0.000    0.000    1.821    1.821 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/module.py:894(cuda)
     17/1    0.001    0.000    1.821    1.821 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/module.py:799(_apply)
       26    0.000    0.000    1.820    0.070 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/module.py:911(<lambda>)
       26    1.796    0.069    1.820    0.070 {method 'cuda' of 'torch._C.TensorBase' objects}
   101883    0.188    0.000    1.742    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/functional.py:1828(softmax)
    692/6    0.006    0.000    1.685    0.281 <frozen importlib._bootstrap>:1022(_find_and_load)
    685/3    0.004    0.000    1.685    0.562 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    661/3    0.005    0.000    1.684    0.561 <frozen importlib._bootstrap>:664(_load_unlocked)
    661/3    0.003    0.000    1.684    0.561 <frozen importlib._bootstrap_external>:877(exec_module)
    833/3    0.001    0.000    1.683    0.561 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   1184/3    0.168    0.000    1.683    0.561 {built-in method builtins.exec}
        1    0.000    0.000    1.682    1.682 /home/amax/xyc/MATr/offpymarl/src/learners/multi_task/mt_bc_learner.py:9(__init__)
        1    0.000    0.000    1.682    1.682 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/adam.py:15(__init__)
        1    0.000    0.000    1.682    1.682 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/optimizer.py:245(__init__)
        1    0.000    0.000    1.681    1.681 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/__init__.py:1(<module>)
  979/215    0.004    0.000    1.681    0.008 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    173/2    0.001    0.000    1.680    0.840 {built-in method builtins.__import__}
    67922    0.130    0.000    1.594    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/activation.py:100(forward)
    33961    0.105    0.000    1.574    0.000 /home/amax/xyc/MATr/offpymarl/src/controllers/multi_task/mt_lbf_controller.py:118(<listcomp>)
   101883    1.515    0.000    1.515    0.000 {method 'softmax' of 'torch._C.TensorBase' objects}
    67922    0.102    0.000    1.464    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/functional.py:1462(relu)
  1225456    1.428    0.000    1.428    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/module.py:1675(__getattr__)
     1200    0.032    0.000    1.395    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/optimizer.py:368(wrapper)
    67922    1.333    0.000    1.333    0.000 {built-in method torch.relu}
     1200    0.021    0.000    1.287    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/optimizer.py:58(_use_grad)
     7450    0.140    0.000    1.260    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/__init__.py:113(<listcomp>)
     1200    0.021    0.000    1.256    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/adam.py:133(step)
    75521    0.328    0.000    1.211    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
    33961    0.570    0.000    1.184    0.000 /home/amax/xyc/MATr/offpymarl/src/modules/decomposers/lbf_decomposer.py:59(decompose_obs)
    33961    1.175    0.000    1.175    0.000 {built-in method torch.eye}
    49245    1.170    0.000    1.170    0.000 {method 'clone' of 'torch._C.TensorBase' objects}
    88418    1.137    0.000    1.137    0.000 {built-in method torch.as_tensor}
    20180    0.327    0.000    1.133    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/numpy/lib/arraypad.py:533(pad)
     1200    0.006    0.000    1.115    0.001 /home/amax/xyc/MATr/offpymarl/src/components/offline_buffer.py:163(sample)
     7642    0.036    0.000    1.111    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:449(<listcomp>)
     1200    0.026    0.000    1.110    0.001 /home/amax/xyc/MATr/offpymarl/src/components/offline_buffer.py:129(sample)
     7642    0.019    0.000    1.106    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:197(_gen_valid_moves)
    35161    0.148    0.000    1.103    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2979(prod)
     7642    0.060    0.000    1.088    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:198(<dictcomp>)
    20180    0.183    0.000    1.075    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:340(_make_obs)
        1    0.000    0.000    1.011    1.011 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/convert_frame.py:1(<module>)
    20180    0.233    0.000    1.008    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:199(<listcomp>)
     1200    0.045    0.000    0.969    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/adam.py:258(adam)
    88418    0.639    0.000    0.943    0.000 /home/amax/xyc/MATr/offpymarl/src/utils/embed.py:10(binary_embed)
    27519    0.913    0.000    0.913    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
   106272    0.869    0.000    0.869    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1200    0.038    0.000    0.794    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/adam.py:448(_multi_tensor_adam)
     7642    0.034    0.000    0.790    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:455(<listcomp>)
   171197    0.770    0.000    0.770    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
    20180    0.559    0.000    0.756    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:377(make_obs_array)
     1200    0.080    0.000    0.756    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/utils/clip_grad.py:12(clip_grad_norm_)
